"","V1","V2","V3","V4"
"1",-7.50450209676501e-05,-0.000961940808094436,-0.00104192005942429,0.00202715099948483
"2",-7.97832528640761e-05,-0.00100540860669659,-0.00113136573870125,0.00212838064522097
"3",-6.83662232060925e-05,-0.000984650517069867,-0.00104025579244774,0.00131161385005438
"4",-6.29218215887763e-05,-0.000998374350241556,-0.00118625266729956,0.00149060756601759
"5",-0.00014241245131787,0.00585023390357728,-0.00752163347722125,0.00318654643740544
"6",-9.62153044238428e-05,-0.00104045357817892,-0.00159606157109296,0.00148831788546269
"7",-0.000101784896099282,-0.000912830741963217,-0.00172533431888049,0.00130422613770351
"8",-0.000110698721047135,-0.00107846459888838,-0.0017183044748527,0.00153961075429888
"9",-9.71356426668617e-05,-0.00112510520599616,-0.00195094594836629,0.0013947149775117
"10",-8.56773646674942e-05,-0.00109450565110425,-0.00212729059296405,0.00131128085804438
"11",-5.87818696699489e-05,-0.000991763922898213,-0.000891802416687256,0.00103672015527291
"12",-7.12943910760742e-05,-0.00114403491737696,-0.00156708342664658,0.00133629331291151
"13",-7.88421941646072e-05,-0.00110422828905487,-0.0014679155378553,0.00125214944712755
"14",-8.29570818313521e-05,-0.00117360516193071,-0.00191777095274375,0.00158644399017876
"15",-8.91750251881337e-05,-0.00109252138172734,-0.00195253424738688,0.00144926554118599
"16",-8.33244602936403e-05,-0.00113732917593039,-0.00197698210748114,0.00154196830781644
"17",-8.91946987297069e-05,-0.00113716516226658,-0.00191196250954843,0.00134699191001645
"18",-6.01844528398584e-05,-0.00117943594168715,-0.00188366434490479,0.00129146855516283
"19",-2.34312053822566e-05,-0.00197106707780206,-0.00121195056354401,0.0045088532203631
"20",-0.00509876253315305,0.000198743041579659,0.000789174609917122,-0.000386636789744895
"21",-0.0001031804845913,-0.000989655080170335,-0.00159770564207117,0.00120469457407954
"22",-3.41976550469953e-05,-0.00110456957586284,-0.000585291304898113,-4.31667643892094e-05
"23",-6.97519501866458e-05,-0.000922423269098142,-0.000961504543089823,0.00174753500184469
"24",-6.98953455449873e-05,-0.00156212757062452,-0.00579736279395542,-0.0125121105395825
